movie_title,year,combined_rating,total_popularity
layer cake,2004,7.1,201832
les jeunes québécoises,1980,4.2,32
life begins tomorrow,1950,7.2,25
like mike,2002,5.0,1
little soldiers,1996,8.0,483
live!,2007,5.8,5214
machanai parthingala,1978,4.4,15
madame x,1990,4.6,14
maggie's farm,2016,8.1,14
magic in the mirror: fowl play,1997,4.8,138
mainkar chipay,2020,7.4,1291
majan,2017,5.3,129
mayan renaissance,2012,7.7,49
meet me in st. louis,1944,6.0,10
"menschen, tiere, sensationen",1938,5.3,9
meraa ghar mere bachche,1985,4.6,34
metal: a headbanger's journey,2005,7.0,2
michael jordan to the max,2000,7.0,1
mighty morphin power rangers: the movie,1995,6.0,17
mommy & me,2011,6.5,22
more than a woman,2005,6.8,10
moving stories,2018,8.2,29
mr shudai,2024,9.2,533
mr. atlas,1997,5.2,103
mr. lucky,1943,7.1,3700
muriel's wedding,1994,10.0,33
my family,1995,6.0,2
my seven little sins,1954,6.0,44
nad námi svítá,1953,4.6,10
naked movie,2002,4.3,131
nobody's fool,1994,8.0,14
nocturnal after hours,2011,7.5,22
of living without illusion,2023,5.5,13
oggun: an eternal presence,1992,7.2,5
once in a blue moon,2023,6.4,41
only,2008,7.1,149
ordinary people,1980,10.0,12
out to sea,1997,6.0,3
ozhivukalam,1985,6.8,12
"passage to india, a",1984,8.0,2
patisserie coin de rue,2011,6.4,357
patti rocks,1988,9.0,1
petits culs vierges pour gros vicieux,1984,4.7,7
pha dam kam ai,2024,5.5,10
pinball passion,2008,7.5,15
pinocchio,1940,10.0,61
pitfall (otoshiana),1962,7.0,1
popeye: the slayer man,2025,3.7,602
prefontaine,1997,7.4,7832
purity beats everything,2007,6.3,10
quando c'era lui... caro lei!,1978,5.0,88
raag desh,2017,8.2,419
raiders of the range,1942,6.5,36
revelstoke: un bacio nel vento,2015,7.6,13
revenge of the green dragons,2014,4.15,4405
revolutionary road,2008,10.0,5
robin hood: prince of thieves,1991,6.0,28
roming,2007,5.9,665
roofless dreams,2023,7.0,6
root of the problem,2019,5.2,142
rosen-resli,1954,6.0,51
"rosita, please!",1994,4.5,8
ruletero a toda marcha,1962,7.5,27
rv,2006,5.0,3
s.p.e.e.d.,2023,5.5,20
salaryman kintaro,1999,5.6,369
salome,1923,5.2,38
saphai breu... aw aw,2008,8.7,102
sarhad: the border of crime,1995,4.1,19
scent of paradise,2001,3.4,26
secret agent bob,2002,5.2,22
secret home,2024,8.3,148
september 12th,2005,8.5,39
shaihu umar,1976,6.4,39
shima no sehiro no oyabun-shû,1961,6.9,10
shngrila town,1996,7.5,6
silah ve namus,1971,5.6,95
silent witness,2016,8.1,43
sisterhood of death,2012,5.4,104
smoking/no smoking,1993,7.4,1981
soal hati,2000,7.8,44
songs of earth,2023,7.1,1049
stake out,2001,3.9,33
stalking santa,2006,5.2,238
star of india,1954,5.6,199
strange interlude,1932,5.6,894
street fighter: round one - fight!,2009,5.9,128
"sum of all fears, the",2002,7.0,17
summer's over,2016,6.9,297
super vixens 4,2022,9.0,12
tarpon,1973,6.8,9
tehran blues,2020,5.5,44
tererê não resolve,1938,6.9,12
territory of play,2015,8.2,16
the artist formerly known as captain beefheart,1997,7.5,47
the beatnicks,2001,5.3,210
the colour of happiness,2003,5.9,46
the condemned of altona,1962,6.7,679
the crooked trail,1936,5.9,113
the devil on wheels,1947,5.2,152
the dungeon masters,2008,6.0,613
the hours and times,1991,6.4,843
the illumination,1973,7.1,2057
the impact: groundbreaking documentary,2024,8.1,58
the jack in the box: awakening,2022,4.4,1830
the johnstown flood,1926,6.8,353
the man from beyond,1922,5.3,353
the pleasure of being robbed,2008,6.1,2106
the possession of michael king,2014,5.7,13739
the prize,2017,5.7,585
the revolt of the thralls,1979,5.8,31
the sign on the door,1921,5.5,34
the teasers,1975,4.6,848
the triumph of time,1996,6.9,21
the unforgotten hero: in memory of sgt. ryan lane,2015,9.4,21
the wicker tree,2011,3.8,3056
the widows of thursdays,2009,6.0,1238
"thieves (voleurs, les)",1996,2.0,2
third person singular number,2009,7.1,2980
tilt,2011,3.0,1
toni,1999,5.3,110
true haunted tales,2024,6.0,8
twenty questions,2017,5.8,18
unfaithful,1931,6.5,89
uppukandam brothers back in action,2011,2.3,42
uz se nebojím,1984,4.8,14
vezuchaya,1988,5.3,25
viereinhalb musketiere,1935,8.6,8
virgin high,1991,3.8,696
vultures of the sea,1928,2.5,23
waydowntown,2000,8.0,3
what lies inside,2020,9.2,51
where the spirit lives,1989,7.4,305
who's harry crumb?,1989,4.0,7
wishes fulfilled! an exclusive cinema event with dr. wayne w. dyer,2010,7.8,9
x's & o's,2007,4.7,311
xchange,2000,5.5,2760
yan xi jiao,1963,7.2,21
"yesli mozhesh, prosti...",1984,6.3,49
yume no hawaii de bon odori,1964,6.3,9
ölüme yalniz gidilir,1962,5.8,20
taken,2008,6.0,42
the white rose,1932,7.0,70
what about bob?,1991,8.0,35
1 time,2019,5.8,12
1976: o ano da invasão corinthiana,2016,8.8,16
2 aces and a dirty heart,2017,4.1,22
a miami love story,2017,6.8,29
a story about fire,2025,7.9,7
aaltra,2004,6.9,2998
aame evaru,1966,8.0,23
ae-ran,1989,3.1,23
after the night,2013,5.8,143
agadbam,2010,4.8,39
agnes,2016,5.5,226
all quiet on the western front,1930,10.0,10
american socialist: the life and times of eugene victor debs,2017,6.9,58
an american tragedy,1931,6.4,1012
andy hardy's blonde trouble,1944,6.5,669
anything's possible,2022,5.8,1880
aram indriyam,2001,5.0,11
asfalttilampaat,1968,6.0,264
bag attack,2019,7.7,12
bahay ni lola,2001,5.7,54
bajo en nicotina,1984,5.2,45
ballet parking,1985,2.8,6
before sunset,2004,8.0,15
beyond the clouds (al di là delle nuvole),1996,6.0,1
bhairavi,1996,5.6,47
black sunday,1977,6.8,9449
bleeders,1997,4.3,3119
blue blue sky,2010,6.9,29
body of influence 2,1996,3.6,224
"brass teapot, the",2012,4.0,1
broder daniel forever,2009,6.6,250
buying the band,2018,8.0,23
captive of billy the kid,1952,6.1,41
cello tales,2013,8.1,13
cheppina evaru nammaru,2021,3.2,118
chinatown: the three shelters,2018,5.3,26
chinese box,1997,6.0,2
christmas with the pups 2: pups alone,2024,3.6,12
chronicles of the roman numeral x,2007,5.6,25
clay,2007,3.4,136
clothes of deception,1951,7.2,117
college confidential,1960,4.8,231
colourful (karafuru),2010,10.0,1
cosplayland - nuoruuden maantiede,2018,3.9,9
countering lights,1982,6.3,23
crazy - total verrückt,1973,3.7,67
crossover,2006,2.2,9518
curly sue,1991,4.0,3
daeng phra khanong,2022,5.1,153
"dancer, texas pop. 81",1998,6.0,1
dante's inferno: an animated epic,2010,6.25,10610
daria: is it fall yet?,2000,8.0,1
dear elnaz,2020,8.0,29
desert rose,2002,4.8,54
devil in the flesh,1947,7.0,930
dick,1999,8.0,8
digimon: the movie,2000,6.0,8179
dogfight,1991,8.15,10689
down to earth,2001,6.0,12
dragonheart 2: a new beginning,2000,9.0,1
"dream of light (a.k.a. quince tree sun, the) (sol del membrillo, el)",1992,10.0,1
eine weisse unter kannibalen,1921,2.3,14
ejamaan,1993,6.5,772
ekskursante,2013,8.1,1652
emmanuelle ii,1975,4.8,3963
end of the party,1972,6.5,30
endurance,1998,6.3,458
ente mezhuthiri athazhangal,2018,7.0,809
everybody's famous! (iedereen beroemd!),2000,4.0,1
eyes find eyes,2011,4.7,29
"f.f.s.s., cioè: '...che mi hai portato a fare sopra a posillipo se non mi vuoi più bene?'",1983,5.9,379
fairy,2020,5.8,626
fireplace for your home: crackling fireplace with music,2010,6.8,30
flight of the doves,1971,6.3,633
gang master,1994,4.4,24
gauntlet,2021,7.0,46
ghost in the shell arise - border 2: ghost whispers,2013,5.0,1
goal ii: living the dream,2007,5.8,34691
godzilla vs. biollante,1989,6.5,7495
"goodbye, grandfather",1996,3.2,14
greenfield,2019,6.5,42
gurbat,2022,8.1,10
hawaa wal kerd,1968,5.3,70
headin' for mexico,2015,7.7,15
henry & june,1990,8.0,1
hercules and the masked rider,1963,4.3,202
hi-riders,1978,4.9,241
himself as herself,1967,5.8,40
hitozuma no nedan: nioutatsu yokujou,2001,6.0,5
how to meet a mermaid,2016,7.2,76
huttyán,1996,9.1,21
hybris,2015,5.8,34
il prigioniero della montagna,1955,4.9,86
indices,2011,6.6,7
inside the room,1935,5.6,55
interkosmos,2006,5.7,122
"ja, vi elsker",1983,5.5,20
jan uuspõld goes home,2025,3.9,77
jhansi ki rani laxmibai,2012,8.8,36
jing nu chu zheng,1988,5.3,20
juice,1992,8.0,1
just a game,1983,5.9,32
justice league: the new frontier,2008,6.0,2
kadere tutsak,2016,6.0,38
kagura me,2015,7.5,11
kahit ako'y busabos,1993,6.6,7
kalibre 35,2000,6.3,179
kazakebi,1928,4.6,14
kazanovas,1963,5.6,76
khiladi,2013,5.6,183
kitokito!,2007,5.9,17
las piernas del millón,1981,7.0,9
le voyageur,2016,6.6,32
lemonade,2020,7.4,7
little sister-in-law,1975,5.1,9
ljuset håller mig sällskap,2000,7.0,385
lori and the six six sixties,2021,7.2,5
los mediocres,1966,7.3,17
los tres mosqueteros de dios,1967,6.8,26
louis c.k.: live at the beacon theater,2011,10.0,10
love songs for scumbags,2011,6.9,16
"love, summer and music",1956,5.8,14
lupin the 3rd: the mystery of mamo,1978,6.9,1823
ma voisine danse le ska,2003,5.6,59
magnetic mountains,2017,8.7,40
mardi gras man,2022,8.5,12
"mariachi, el",1992,8.0,18
mat bond malaya,2021,1.6,57
melagiai/liars,2018,6.0,313
merveilleuse angélique,1965,6.6,1862
metropia,2009,5.0,1
midnight movies: from the margin to the mainstream,2005,7.3,1678
midnight run,1988,5.75,98786
mikulay,2022,5.7,125
minor mishaps,2002,6.4,749
miss india,2020,3.8,2635
missä on missä?,2009,6.9,46
"misérables, les",1995,8.0,32
moonlighting,1982,7.3,3683
mother's day: what a horror!,1995,3.6,9
movers ultimate,2022,5.9,116
mr. king,2023,5.0,3000
my blonde foreign wife,1973,3.1,10
my transparent life,2022,6.7,369
no greater love,2009,7.5,68
no manches frida,2016,5.5,2849
now you see me,2013,8.0,22
obsession,1965,10.0,2
old mother riley at home,1945,4.7,35
once upon a time in sad hill,2019,3.6,15
one false move,1992,6.0,4
otra vuelta de tuerca,1985,6.3,240
padheyam,1993,7.2,241
pakhandi,1984,6.3,45
path of tears,2016,6.7,24
playing with dolls: bloodlust,2016,2.6,559
point pleasant,2011,5.2,25
pokémon the movie: kyurem vs. the sword of justice,2012,5.5,1918
police story (ging chaat goo si),1985,7.0,2
priyam,2000,5.9,192
project censored the movie,2013,7.7,52
rafter romance,1933,6.6,967
rape zombie: lust of the dead 5,2014,3.5,258
ravichandra,1980,8.4,42
regionrat,2019,6.7,102
revancha de un amigo,1987,5.8,28
rifftrax: oblivion,2017,6.3,45
ripley's game,2002,5.0,3
ritu,2009,7.2,427
romi,2023,4.1,219
rovesnik veka,1960,5.2,15
sachindi ra gorre,2018,5.2,6
safety first: the rise of women!,2008,7.1,103
saw,2003,10.0,35
scarlet flower,1991,6.3,45
seeing red,1992,4.7,21
"serena, a vampire's tale",2009,4.6,15
shallow,2021,4.1,16
shot down,1987,5.8,16
"signal left, turn right",1996,7.4,89
sinners,1971,4.7,43
skin deep: building diverse campus communities,1995,7.0,11
sleep dealer,2008,6.0,6757
solo,2013,4.7,1446
some,2004,6.0,579
"squat, la ville est à nous!",2011,6.8,9
"stockholm, pennsylvania",2015,6.0,2720
storfolk og småfolk,1951,5.3,33
stripper: natasha kizmet,2009,4.0,126
sumber ilhamku,1979,9.0,8
sus og dus på by'n,1968,5.3,55
susana,1951,7.2,2360
tales of beyoglu,2010,6.0,7
talk to her (hable con ella),2002,7.0,14
tempest of love,1961,6.6,11
terror in woods creek,2017,3.4,81
the castle of crossed destinies,2012,5.6,117
the choir director,2018,6.7,40
the dark matter of love,2012,7.4,922
the ecstasy of isabel mann,2012,2.8,138
the elsa castillo story... ang katotohanan,1994,6.2,15
the eternal children,2006,6.3,35
the girl in cabin 13: a psychological horror,2021,2.8,223
the glorius mustache challenge,2006,7.6,25
the golden veil,2011,4.9,182
the hoodlum priest,1961,6.6,509
the hottest show in town,1974,6.1,88
the house on laura anne dr.,2024,4.4,648
the hunted,2013,4.7,1603
the hunting,2011,8.5,15
the invisible life of thomas lynch,2009,7.9,50
the making of bret michaels,2002,3.0,142
the man from the diners' club,1963,6.1,493
the million dollar kid,2000,3.2,525
the naked terracotta warriors,2015,6.7,27
the night of the cat,1973,4.3,46
the novice,2021,6.5,7455
the outfitters,1999,5.1,154
"the past is always new, the future is always nostalgic: photographer daido moriyama",2019,7.6,15
the perfect wedding,2012,6.2,1040
the prodigal son,1963,5.4,31
the restless night,1958,6.9,89
the rules of the game,2002,6.5,54
the sexy secrets of the kiss-o-gram girls,1986,5.8,27
the silent man,1917,6.6,121
the solar system,2017,5.2,79
the spiritual world,2007,4.8,107
the stepdaughter,2024,5.2,228
the tale of the bunny picnic,1986,6.0,1
the thin thread,1971,6.8,175
the wild geese,1978,6.8,14925
the wooden gun,2002,6.5,29
the wrong track,2025,6.0,751
thenmavin kombath,1994,8.1,3462
"thomas crown affair, the",1999,2.0,55
tig,2015,7.4,2913
titan a.e.,2000,8.0,29
tkkg,2019,5.8,528
tokyo sonata,2008,7.5,12798
tom segura: disgraceful,2018,9.0,1
trails of the wild,1935,5.6,34
transformers: dark of the moon,2011,7.0,11
trent,2015,6.5,9
tres marias,2010,7.5,24
unbreakable bond,2017,6.3,20
unbroken,2023,8.1,65
veer na ver,1930,4.6,6
vegetarian,2009,5.7,221
vulture's wake,2024,7.2,155
waiting for 'superman',2010,8.0,1
"way of the gun, the",2000,8.0,8
when eve woke up: part 2,1997,7.7,23
yanasma,1973,6.1,161
yellow cape town,2007,8.0,7
you hurt my feelings,2023,6.5,15683
za gômon: niizuma-hen,1987,4.8,8
zabardast,1989,7.2,5
zhivoy trup,1952,5.5,16
zu spät,1913,6.3,11
the long way to you,1947,5.6,11
thoroughly modern millie,1967,6.0,1
time to duel,2021,4.7,126
tövbekar,1977,5.1,73
...or forever hold your peace,2001,7.9,31
127 millones libres de impuestos,1981,6.1,58
35 up,1991,8.0,3
666,2010,4.8,33
a common crime,2020,5.9,321
a different life,2016,9.4,15
"a hoof here, a hoof there",1989,7.0,253
a man to kill,1937,5.7,10
a szerelem határai,1974,4.0,10
aag ka darya,1966,7.4,6
aarambham,2024,6.7,478
abbar kanchanjangha,2022,6.3,90
abu shanab,2016,4.9,506
"abu, son of adam",2011,7.8,1253
aie sangharsha,1998,4.9,11
akbar amar anthony,1978,6.4,19
albarsty,2017,7.3,20
alla tiders karlsson,1936,4.1,49
amigos de risco,2007,7.3,25
at midnight,2023,5.6,1659
auge in auge - eine deutsche filmgeschichte,2008,7.1,154
az elveszett európai,2015,5.6,9
azaad,1955,7.1,189
babs johnson and the cavalcade of perversion: an exploration in exploitation,2005,8.1,20
back to burgundy,2017,6.8,5832
bad people,2016,3.8,235
ban'yuuki,2010,6.7,35
beginner,2017,6.2,414
benji the hunted,1987,8.0,2
benny and babloo,2010,6.1,494
bhai,2013,3.3,239
bhakta prahlada,1932,7.9,92
blonde,2022,5.5,75238
blood of the witch: the complete film,2012,7.7,21
bowling for columbine,2002,7.0,58
brillantes,2014,4.8,21
calypso,2019,6.6,30
camp twilight,2020,3.3,158
can't buy me love,1987,6.0,4
canoa: a shameful memory,1976,7.8,2013
chetna: the excitement,2005,3.4,56
chicken mexicaine,2007,4.5,28
chien fuck!,2006,6.7,14
city hunter: shinjuku private eyes,2019,6.4,875
city of sars,2003,5.2,25
cleanskin,2012,7.0,1
clown,2022,8.9,35
club 66,1981,4.8,11
cold sweat,1970,5.7,3304
com água na boca,1956,6.8,26
come back peter,1952,4.7,76
comedy of the strict regime,1993,9.0,1
"contender, the",2000,6.0,7
coup dur chez les mous,1956,5.4,23
cross-eyed,1999,8.4,11
"crying game, the",1992,6.0,42
dahil tanging ikaw,1997,1.9,32
damned oasis,2019,4.9,8
dante's inferno,1924,5.8,230
dara gujjar,1986,7.6,8
darkman,1990,7.2,72393
dervis bey,1978,6.2,251
deutschfieber,1992,4.7,21
dirty back seat,2015,6.6,17
do novogo goda ostalos...,2019,5.4,5
don't be a menace to south central while drinking your juice in the hood,1996,6.75,64294
don't forget to remember,2024,9.0,12
dreamscape,1984,4.0,6
drillbit taylor,2008,4.0,2
eksik etek,1976,3.2,21
el puente,1984,6.2,14
elias and the treasure of the sea,2010,5.8,78
etüden op. 18,2005,6.8,37
executive suite,1954,6.0,1
explode for me,2012,8.8,13
facing genocide: khieu samphan and pol pot,2010,6.6,34
"faith, fraud, & minimum wage",2010,5.7,180
fake,2013,8.0,16
fantastic beasts and where to find them,2016,4.0,14
father frost,1996,6.1,62
feride,2020,1.9,545
fight at the fort,2022,7.1,18
finding me: truth,2011,5.9,60
flying fox in a freedom tree,1989,7.2,21
for your consideration,2006,4.0,4
friend,1974,7.0,1622
george fest: a night to celebrate the music of george harrison,2016,8.2,97
ghostbusters ii,1989,7.0,47
giuramento,1982,5.8,54
"go there, don't know where",1966,7.0,70
gor,1987,3.5,2467
graham bullard movie: peanuts meets the loud house,2023,2.8,9
gums,1976,4.3,137
género,2016,6.8,12
hammer,1986,3.1,9
hazai pálya,1969,8.1,46
hochzeit mit erika,1950,6.2,9
hold your fire,2021,6.8,291
homecoming,2004,8.6,28
homeward bound ii: lost in san francisco,1996,6.95,16747
homicidios en chicago,1969,4.5,13
honor of the west,1939,3.4,20
hot pursuit,1983,6.1,52
"i, tonya",2017,6.0,3
in fear,2013,5.4,10882
in the line of fire,1993,8.0,70
jamaican mafia,2015,5.4,145
john wick,2014,4.0,29
just kids,2006,4.5,17
"karem, la posesión",2021,4.4,256
korkacak bi'sey yok,2017,3.8,20
kumara raja,1978,8.4,39
la singla,2023,7.3,126
laggies,2014,10.0,1
last knights,2015,8.0,3
left for dead,2007,3.2,1289
lego house: home of the brick,2018,6.5,515
les derniers révoltés d'hollywood,2008,6.3,24
like a pot of strawberries,1974,5.0,32
lives and deaths of the poets,2011,7.0,12
long live ghosts!,1977,6.0,1
low life,2011,5.2,122
malyutka elli,1918,6.4,10
"man escaped, a (un  condamné à mort s'est échappé ou le vent souffle où il veut)",1956,7.0,1
mariyam mukku,2015,4.3,177
mean dog blues,1978,6.1,304
mean machine,2001,5.0,2
merry christmas octopus,1987,6.8,204
mesocafé,2011,7.6,20
min kones ferie,1967,5.9,152
mountains of the moon,1990,6.0,1
mumiya iz chemodana,1991,5.8,9
mummy save me,2016,4.7,127
"muse, the",1999,6.0,7
my american exodus,2010,7.9,9
my dog vincent,1997,5.9,108
my people are not yours,1944,4.6,25
nadja,1994,8.0,2
"negotiator, the",1998,10.0,30
"new one-armed swordsman, the (xin du bi dao)",1971,6.0,1
no look pass,2011,7.4,57
nocturnal activity,2014,2.3,125
nothing to lose,1997,8.0,5
"official story, the (la historia oficial)",1985,8.0,1
on the air,1995,6.1,47
once,2006,10.0,9
one for the money,2012,6.0,2
oskar,2018,5.4,40
p.s.,2004,7.05,6672
pals,2007,5.6,112
paul raymond's erotica,1981,5.4,119
performance anxiety,2008,6.0,46
playground,2009,6.9,240
pod maskoy berkuta,1992,4.0,16
reaching silence,2005,6.3,14
riders of the purple sage,1931,6.2,104
rivers of croatia,2021,8.0,18
romance in style,2022,6.5,2424
roxxxanne,2007,6.4,44
saffet beni affet,1976,6.0,232
sample: not for sale,2012,8.3,20
saturn 3,1980,7.55,11023
scooby-doo goes hollywood,1979,10.0,1
secundarias,2023,7.0,6
sexual intent,1990,4.5,15
sheltering season,2022,4.6,136
sher mountain killings mystery,1990,3.4,87
shui hu chuan gu shi lang zi yan qing,1984,6.3,15
siamese irattakal,1997,3.9,37
sirivantha,2006,8.2,26
sixth bus,2022,5.6,1992
southern fists - the rise of heroes (2020),2020,8.9,66
"specialist, the",1994,8.0,38
stab 7,2017,6.3,38
stare fuori,2008,7.2,16
"stepford wives, the",2004,4.0,23
stronghold of toughs,1967,6.5,29
summer dream,1990,4.7,199
super speedway,1997,7.2,507
sweet darling,2010,5.5,17
swimsuit: the movie,1997,5.0,96
take it easy,2011,6.8,12
tank girl,1995,2.0,34
tatlong bibe,2017,8.0,10
templul tacerii,1994,8.1,12
ten fearless men,1964,5.0,75
the apolitical man,1977,5.1,45
the avenger of venice,1964,5.8,65
the challenge of desire,1982,5.6,16
the christmas project,2016,5.6,575
the cyclone,1996,6.8,5868
the diary of the first-grader's mom,2014,6.4,24
the frighteners,1996,7.1,98743
the gardener of god,2010,5.5,36
the golden voyage of sinbad,1973,6.0,3
the hanged man,1993,6.4,12
the jack in the box rises,2024,4.1,782
the mines of kilimanjaro,1986,3.5,119
the mondesir heir,1940,5.8,50
the mountain,1956,6.8,2358
the mysterious man by himself,2010,4.0,200
the narrow frame of midnight,2014,6.0,95
the offenders,1980,7.6,42
the party's just beginning,2018,6.1,2517
the pilgrimage play,1949,5.5,77
the principal enemy,1974,7.6,39
the risk,1960,6.1,368
the secret of kells,2009,7.5,39468
the snowman,2009,6.9,40
the teckman mystery,1954,6.2,602
the true story of puss'n boots,2009,3.1,1202
tistou the green thumb,1990,8.1,41
to nisem jaz,2012,8.2,7
tokyo story (tôkyô monogatari),1953,7.0,4
tomorrow after the war,2015,6.5,71
tonkatsu taishô,1952,7.2,23
twins,1945,6.6,101
two much,1995,6.0,1
ultimate avengers 2,2006,4.0,1
under western skies,1945,5.6,90
undertaking betty (plots with a view),2002,5.0,1
unload,2023,7.5,12
"vampira: about sex, death and taxes",1995,7.1,31
vampire circus,1972,6.3,5192
vanrakshak,2021,7.8,52
variaciones espectrales,2013,7.0,7
virtuosity,1995,4.0,19
vito,2011,8.1,788
viva knievel!,1977,3.6,1449
vosmoe chudo sveta,1982,4.7,27
way down deep,1978,5.1,12
wellstone!,2004,8.3,21
what's cookin',1942,6.9,95
wheels,1998,7.5,2885
when carnival comes,1972,6.2,127
where are my children?,1916,6.2,901
world on a wire (welt am draht),1973,7.0,2
young guns,1988,6.0,25
your sister's sister,2011,8.0,1
zombie dearest,2009,4.4,267
zone,2012,6.0,87
zone 39,1997,4.0,1
the contender,2000,6.9,25517
önce vatan,1974,4.9,139
1 nighter,2012,6.8,92
2048: nowhere to run,2017,7.0,1
9to5: the story of a movement,2020,7.4,292
a war story,2018,6.2,68
a weekend with strangers,1971,5.1,19
a year in transition,2018,8.2,9
abbot hai teng of shaolin,1985,6.9,113
aina,2011,6.8,7
alarma!,2008,7.3,20
"american haunting, an",2005,4.0,2
applause,1929,7.1,1549
ar-khi-me-dy!,1975,5.9,41
as i lay dying,2013,5.4,4254
"assault: the criminals, part iv",1977,6.1,50
así amaron nuestros padres,1964,6.1,11
attack of the kung fu girls,1973,5.9,188
ayyam el-rub,1988,5.0,16
baby geniuses,1999,2.0,3
back to the beach,1987,4.0,3
"bad seed, the",1956,8.0,4
bara no hyôteki,1980,5.4,20
basagan ng mukha,2001,6.2,8
"best exotic marigold hotel, the",2011,9.0,4
best men,1997,8.0,1
bikeman 2,2019,6.1,311
bikes for africa,2012,8.5,8
blue bus,2010,8.0,36
brainstorm,1983,7.0,2
breakin' all the rules,2004,7.0,1
burning secret,1988,6.5,541
byla ne byla,1987,6.3,14
bôrô no kesshitai,1943,5.8,29
cactus,2020,8.2,11
carpet cowboys,2023,6.4,66
caught in the act,1941,4.8,30
chasing great,2016,7.2,541
chilli laugh story,2022,5.8,400
chushingura,1962,7.6,2303
climats,1962,6.1,65
"clonus horror, the",1979,9.0,2
cocaine unwrapped,2011,6.7,119
come blow your horn,1963,6.0,1268
come from away,2021,8.5,4276
condenados,2013,7.1,12
crack house,1989,5.5,547
crimson point,2023,5.0,51
cry in the woods,2004,6.0,1056
curaçao,2010,7.3,9
dabbe: demon possession,2012,5.7,4452
dating lanzelot,2011,4.2,123
de bankroet jazz,2009,8.2,10
diva,1981,6.0,5
doleto,1985,4.0,21
dollia e dasmës sime,1978,5.6,10
dr. fummel und seine gespielinnen,1970,4.0,60
dr. phibes rises again,1972,9.0,1
easter someday,2021,2.9,44
een gelukkige hand,2005,7.1,21
eiffel... i'm in love,2003,6.3,768
ekta,2019,6.5,1044
el rollo de septiembre,1985,4.7,60
el silencio del topo,2021,7.6,60
"endurance: shackleton's legendary antarctic expedition, the",2000,7.0,1
enemy of the heart,2021,9.0,23
eterno paraíso,2018,6.2,10
eureka,1983,5.9,4070
excellensen,1944,5.2,85
"exit the dragon, enter the tiger",1976,5.1,446
exte: hair extensions,2007,6.0,1
fantasma de buenos aires,2008,7.1,269
federal hill,1994,6.0,1
feeling randy,2024,7.8,465
feminists: what were they thinking?,2018,7.1,2531
field of dreams,1989,1.0,56
five moments of infidelity,2006,5.3,94
flat black,2010,8.0,8
forced landing,1941,5.5,96
fred armisen: standup for drummers,2018,8.0,2
funke,2018,7.4,102
george carlin: jammin' in new york,1992,10.0,1
ghanchakkar,2013,5.9,5401
ghost town riders,1938,5.0,18
ghosts don't exist,2010,3.3,456
gone with the woman,2007,6.6,2165
grand central,2013,6.2,3031
"grapes of wrath, the",1940,9.0,9
gremlins 2: the new batch,1990,6.0,15
günaha girme,1982,4.8,70
halka,1930,5.8,34
hangman,2000,5.5,35
"hangover, the",2009,6.0,76
hatchet,2006,8.0,1
hell is empty,2021,3.9,674
hell or high water: the story of the nashville rollergirls,2012,9.4,25
hello dracula 2,1987,6.0,28
high lonesome: the story of bluegrass music,1992,7.8,146
high society,1956,6.0,2
hijacking for democracy,2014,10.0,7
"himilsbach. prawdy, bujdy, czarne dziury",2002,6.8,32
horizonte,2024,7.6,29
"hours, the",2002,8.0,15
how to disappear completely,2025,7.4,5
"i am from krajina, the land of chestnuts",2013,5.8,54
"i love you, beth cooper",2009,5.0,1
"icicle thief, the (ladri di saponette)",1989,6.0,1
il lercio,2009,6.7,46
intimidades de una secretaria,1971,4.8,10
island of torture,2006,5.4,17
jodi,2019,5.3,172
journeys with george,2002,7.0,1
justice from heaven,1948,4.7,15
kaalaippani,2008,7.8,16
"karen, maren og mette",1954,5.6,26
karla,2016,7.1,19
khao chue karn,1973,5.7,9
kiltit tytöt,2000,3.0,8
king kong,2005,5.0,79
koan of spring,2013,7.6,26
l.a. confidential,1997,10.0,97
la corista,1960,5.0,16
la final,2015,5.6,36
last night,1963,7.9,362
light of day,1987,5.6,3403
little caesar,1931,8.0,1
"lizzie mcguire movie, the",2003,9.0,4
loaded guns,1975,4.7,529
love actually,2003,7.8,557502
magic hour,2018,7.7,7
"man from snowy river, the",1982,10.0,4
mandie and the secret tunnel,2009,5.1,417
manhunt in the jungle,1958,6.4,87
maniac,2018,5.6,1274
memories of another,2022,8.4,24
mexican ritual,2012,5.6,10
migration of the belted bonito,2011,7.7,43
mister brown,1972,7.0,10
modern cinderella,1965,6.0,1042
mojado de nacimiento,1981,6.3,20
moon over parador,1988,6.0,1
"mrs. brown (a.k.a. her majesty, mrs. brown)",1997,6.0,5
my favorite blonde,1942,7.0,1691
my wedding and other secrets,2011,6.1,318
mysteries of the lake,2018,6.9,46
más de un millón,2015,6.4,5
"nacional, una historia verdadera",2019,7.0,5
nenjam marappathillai,1963,8.4,92
"newton boys, the",1998,10.0,3
nightcrawlers,2019,7.3,41
no man's law,2021,6.7,17
only yesterday (omohide poro poro),1991,5.0,1
open season: scared silly,2015,5.0,4165
our winter,2022,6.4,25
out there: a national parks story,2023,9.1,9
paper shadows,2018,8.2,7
phaidros,2018,5.1,17
piata universitatii - romania,1991,9.1,171
queen antigone: three acts,2014,7.6,18
race suicide,1938,5.9,16
revan & reina,2018,8.3,47
robot adventures with robosapien and friends: humanoid robots,2011,4.7,9
runam,2019,5.0,216
s&m hunter begins,1985,5.6,23
s.f.w.,1994,6.0,1
